ID	中文名	图片路径
ID	Name	FilePath
1	1万	texture/mahjong_11
2	2万	texture/mahjong_12
3	3万	texture/mahjong_13
4	4万	texture/mahjong_14
5	5万	texture/mahjong_15
6	6万	texture/mahjong_16
7	7万	texture/mahjong_17
8	8万	texture/mahjong_18
9	9万	texture/mahjong_19
11	1条	texture/mahjong_21
12	2条	texture/mahjong_22
13	3条	texture/mahjong_23
14	4条	texture/mahjong_24
15	5条	texture/mahjong_25
16	6条	texture/mahjong_26
17	7条	texture/mahjong_27
18	8条	texture/mahjong_28
19	9条	texture/mahjong_29
21	1筒	texture/mahjong_31
22	2筒	texture/mahjong_32
23	3筒	texture/mahjong_33
24	4筒	texture/mahjong_34
25	5筒	texture/mahjong_35
26	6筒	texture/mahjong_36
27	7筒	texture/mahjong_37
28	8筒	texture/mahjong_38
29	9筒	texture/mahjong_39
31	东	texture/mahjong_41
32	南	texture/mahjong_42
33	西	texture/mahjong_43
34	北	texture/mahjong_44
41	中	texture/mahjong_51
42	发	texture/mahjong_52
43	白	texture/mahjong_53
51	梅	texture/mahjong_61
52	兰	texture/mahjong_62
53	菊	texture/mahjong_63
54	竹	texture/mahjong_64
61	春	texture/mahjong_71
62	夏	texture/mahjong_72
63	秋	texture/mahjong_73
64	冬	texture/mahjong_74
