ID	关卡	横排数量	竖排数量	时间
ID	Level	XCount	YCount	Time
1	1	4	6	300
2	2	4	7	300
3	3	4	8	300
4	4	4	9	300
5	5	4	10	300
6	6	5	10	300
7	7	6	10	300
8	8	6	12	300
9	9	6	14	300
10	10	6	14	290
11	11	6	14	287
12	12	6	14	284
13	13	6	14	281
14	14	6	14	278
15	15	6	14	275
16	16	6	14	272
17	17	6	14	269
18	18	6	14	266
19	19	6	14	263
20	20	6	14	260
21	21	6	14	257
22	22	6	14	254
23	23	6	14	251
24	24	6	14	248
25	25	6	14	245
26	26	6	14	242
27	27	6	14	239
28	28	6	14	236
29	29	6	14	233
30	30	6	14	230
31	31	6	14	227
32	32	6	14	224
33	33	6	14	221
34	34	6	14	218
35	35	6	14	215
36	36	6	14	212
37	37	6	14	209
38	38	6	14	206
39	39	6	14	203
40	40	6	14	200
41	41	6	14	197
42	42	6	14	194
43	43	6	14	191
44	44	6	14	188
45	45	6	14	185
46	46	6	14	182
47	47	6	14	179
48	48	6	14	176
49	49	6	14	173
50	50	6	14	170
51	51	6	14	167
52	52	6	14	164
53	53	6	14	161
54	54	6	14	158
55	55	6	14	155
56	56	6	14	152
57	57	6	14	149
58	58	6	14	146
59	59	6	14	143
60	60	6	14	140
61	61	6	14	137
62	62	6	14	134
63	63	6	14	131
64	64	6	14	128
65	65	6	14	125
66	66	6	14	122
67	67	6	14	119
68	68	6	14	116
69	69	6	14	113
70	70	6	14	110
71	71	6	14	107
72	72	6	14	104
73	73	6	14	101
74	74	6	14	98
75	75	6	14	95
76	76	6	14	92
77	77	6	14	89
78	78	6	14	86
79	79	6	14	83
80	80	6	14	80
81	81	6	14	77
82	82	6	14	74
83	83	6	14	71
84	84	6	14	68
85	85	6	14	65
86	86	6	14	62
87	87	6	14	59
88	88	6	14	56
89	89	6	14	53
90	90	6	14	50
91	91	6	14	47
92	92	6	14	44
93	93	6	14	41
94	94	6	14	38
95	95	6	14	35
96	96	6	14	32
97	97	6	14	29
98	98	6	14	26
99	99	6	14	23
100	100	6	14	20
